Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Devops Engineer,Mapple Fly,Applied Successfully,19-27.5 Lacs P.A.,[],No URL,,,
Devops Engineer,Mapple Fly,Already applied,19-27.5 Lacs P.A.,[],No URL,,,
Senior Full Stack Developer - Node.js,Delta Visionary Capital,Applied Successfully,Not Disclosed,[],No URL,,,
Senior Full Stack Developer - Node.js,Delta Visionary Capital,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=070623501786&multiApplyResp={%22070623501786%22:202},,,
Hiring .NET developers (Immediate joiners only),,Not Applying because of keyword mentioned .net,,,No URL,,,
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Full Stack PHP Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Enterprise Sales Manager_IT SaaS E-Commerce at StoreHippo,,Not Applying because of keyword mentioned sales,,,No URL,,,
Network Programmer,Homestead Schools,Applied Successfully,"40,000-55,000 P.A.",[],No URL,,,
Java developer with Alveo (Asset Control),,Not Applying because of keyword mentioned java,,,No URL,,,
"Full Stack Java Instructor- full time - Simplilearn,Bangalore/Bengaluru From 2 to 7 year(s) of experience",,Not Applying because of keyword mentioned java,,,No URL,,,
Hiring For MS Dynamics CRM Developer with Datamatics - Remote,Datamatics,Applied Successfully,16-20 Lacs P.A.,"Plot No. 58, Street No. 17,Andheri (East), Near Akruti Center, MUMBAI, Maharashtra - 400093,India",No URL,,,
Windows Application Engineer,Finoit Technologies,Applied Successfully,Not Disclosed,"B-101, 1st Floor, Tower B,, Noida One, Plot No.8, Block B, Sector 62, NOIDA, NOIDA, Uttar Pradesh, India
https://www.finoit.com",No URL,,,
VB6/ Visual Basic 6 Developer (VB6),SSP Limited,Applied Successfully,7-11 Lacs P.A.,[],No URL,,,
,,,,,,1. What is the notice period in your current company ?*,text,Immediate
,,,,,,2. What is your current and expected annual CTC in INR ? ,text,Based on market standards
,,,,,,3. What is your relevant experience in VB6?*,text,3
Splunk Developer,AI Technologies,Applied Successfully,"20,000-30,000 P.A.",[],No URL,,,
Mulesoft Developer (Contract)|WFH | SSP Worldwide,SSP Woldwide,Applied Successfully,Not Disclosed,[],No URL,,,
IT Project Manager,Magento360 by Future Commerce Solutions,Applied Successfully,Not Disclosed,"B-87, KAMLA VIHAR, BEHIND SUKHADIYA STADIUM , BHILWARA, Rajasthan, India
https://magento360.com/",No URL,,,
,,,,,,1. How many years of experience do you have into Magento?*,text,3
,,,,,,2. What is the notice period in your current company ?*,text,Immediate
,,,,,,"3. What is your current annual CTC in INR (e.g. 5,00,000)?*",text,24
,,,,,,"4. What is your expected annual CTC in INR (e.g. 5,00,000)?*",text,Based on market standards
,,,,,,5. What is your total IT experience?*,text,3
React JS Developer,,Not Applying because of keyword mentioned react,,,No URL,,,
Leading Organization hiring - RPA L2 Consultant - Automation Studio,Teknip Technologies,Applied Successfully,Not Disclosed,[],No URL,,,
Tech Sales Representative (Information Technology),,Not Applying because of keyword mentioned sales,,,No URL,,,
PHP Web Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Flutter developer,,Not Applying because of keyword mentioned flutter,,,No URL,,,
