Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Software Developer II (Angular),Dimension Data,Applied Successfully,Not Disclosed,[],No URL,,,
Software Developer II (Angular),Dimension Data,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=260523502438&multiApplyResp={%22260523502438%22:202},,,
Dev Ops Engineer,Niksun,Applied Successfully,Not Disclosed,[],No URL,,,
Senior Full Stack Developer - Node.js,Delta Visionary Capital,Applied Successfully,Not Disclosed,[],No URL,,,
Senior Full Stack Developer - Node.js,Delta Visionary Capital,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=070623501786&multiApplyResp={%22070623501786%22:202},,,
Middle RPA Engineer (UIPath),Ciklum,Applied Successfully,Not Disclosed,[],No URL,,,
Middle RPA Engineer (UIPath),Ciklum,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=310523500793&multiApplyResp={%22310523500793%22:202},,,
Data Engineer-PySpark,Infogain,Applied Successfully,Not Disclosed,[],No URL,,,
VB6/ Visual Basic 6 Developer (VB6),SSP Limited,Applied Successfully,7-11 Lacs P.A.,[],No URL,,,
VB6/ Visual Basic 6 Developer (VB6),SSP Limited,Already applied,7-11 Lacs P.A.,[],No URL,,,
Windows Application Engineer,Finoit Technologies,Applied Successfully,Not Disclosed,"B-101, 1st Floor, Tower B,, Noida One, Plot No.8, Block B, Sector 62, NOIDA, NOIDA, Uttar Pradesh, India
https://www.finoit.com",No URL,,,
Windows Application Engineer,Finoit Technologies,Already applied,Not Disclosed,"B-101, 1st Floor, Tower B,, Noida One, Plot No.8, Block B, Sector 62, NOIDA, NOIDA, Uttar Pradesh, India
https://www.finoit.com",No URL,,,
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Splunk Developer,AI Technologies,Applied Successfully,"20,000-30,000 P.A.",[],No URL,,,
Splunk Developer,AI Technologies,Already applied,"20,000-30,000 P.A.",[],No URL,,,
Dot Net Developer,,Not Applying because of keyword mentioned dot,,,No URL,,,
Network Programmer,Homestead Schools,Applied Successfully,"40,000-55,000 P.A.",[],No URL,,,
Network Programmer,Homestead Schools,Already applied,"40,000-55,000 P.A.",[],No URL,,,
.Net MVC /.Net Core Developer,,Not Applying because of keyword mentioned .net,,,No URL,,,
Python Developer,Particle41,Applied Successfully,Not Disclosed,"Pune
https://particle41.com/",No URL,,,
Hiring .NET developers (Immediate joiners only),,Not Applying because of keyword mentioned .net,,,No URL,,,
Mulesoft Developer (Contract)|WFH | SSP Worldwide,SSP Woldwide,Applied Successfully,Not Disclosed,[],No URL,,,
Mulesoft Developer (Contract)|WFH | SSP Worldwide,SSP Woldwide,Already applied,Not Disclosed,[],No URL,,,
Hiring For MS Dynamics CRM Developer with Datamatics - Remote,Datamatics,Applied Successfully,16-20 Lacs P.A.,"Plot No. 58, Street No. 17,Andheri (East), Near Akruti Center, MUMBAI, Maharashtra - 400093,India",No URL,,,
PHP Web Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Info Archive,Datamatics,Applied Successfully,Not Disclosed,[],No URL,,,
Requirement For VC++/MFC,63 moons,Applied Successfully,5-15 Lacs P.A.,[],No URL,,,
Dotnet Developer or Lead role,Scan Technology L.l.c.,Applied Successfully,Not Disclosed,[],No URL,,,
