Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Senior Software Engineer,Knowledgesprint Technologies India,Applied Successfully,6-15 Lacs P.A.,"5th floor, Alluri Trade Center, Kukatpally, KPHB, Hyderabad, Telangana, India – 500072.",No URL,,,
Senior Software Engineer,Knowledgesprint Technologies India,Already applied,6-15 Lacs P.A.,"5th floor, Alluri Trade Center, Kukatpally, KPHB, Hyderabad, Telangana, India – 500072.",No URL,,,
OpenText Teamsite Engineer (AWS),Mastech Digital,Applied Successfully,Not Disclosed,"Mastech Digital 1305 Cherrington Parkway Building 210, Suite 400 Moon Township PA 15108",No URL,,,
OpenText Teamsite Engineer (AWS),Mastech Digital,Already applied,Not Disclosed,"Mastech Digital 1305 Cherrington Parkway Building 210, Suite 400 Moon Township PA 15108",No URL,,,
Senior Backend Developer,Trulymadly,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://trulymadly.com/career,,,
Special Projects Software Engineer,Braintrust,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://careers.jobscore.com/careers/braintrust/jobs/special-projects-software-engineer-bUYUWZrlznX4yVNaboRkFj,,,
Senior Data Engineer,Craftner Solutions Pvt Ltd,Applied Successfully,6-16 Lacs P.A.,,No URL,,,
Senior Data Engineer,Craftner Solutions Pvt Ltd,Already applied,6-16 Lacs P.A.,,No URL,,,
Senior Node Js Developer,Techwondoe India,Applied Successfully,11-20 Lacs P.A.,"FLAT NO-305, BLOCK-B,GREENHILLS MEGACITY Rangareddi, Hyderabad, Hyderabad, Telangana, India",No URL,,,
Senior Node Js Developer,Techwondoe India,Already applied,11-20 Lacs P.A.,"FLAT NO-305, BLOCK-B,GREENHILLS MEGACITY Rangareddi, Hyderabad, Hyderabad, Telangana, India",No URL,,,
Mean Stack Developer,Chirayu Software Solutions,Applied Successfully,6-10 Lacs P.A.,,No URL,,,
Mean Stack Developer,Chirayu Software Solutions,Already applied,6-10 Lacs P.A.,,No URL,,,
Hiring .NET developers (Immediate joiners only),,Not Applying because of keyword mentioned .net,,,No URL,,,
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
"Full stake developers - Java, and PHP - Location - fulltime Home based",,Not Applying because of keyword mentioned php,,,No URL,,,
Software Developer (Java + Golang),,Not Applying because of keyword mentioned java,,,No URL,,,
Technical Project Manager,Braintrust,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://careers.jobscore.com/careers/braintrust/jobs/technical-project-manager-dXmNoxQZndEQZ914FglVWF,,,
MERN Engineer,Jobrobo,Applied Successfully,6-12 Lacs P.A.,,No URL,,,
MERN Engineer,Jobrobo,Already applied,6-12 Lacs P.A.,,No URL,,,
Senior AEM UI Developer,TechChefz,Applied Successfully,Not Disclosed,"THIRD FLOOR, R-155, REAR PORTION, NEAR S BLOCK,, NEW DELHI, Delhi, India",No URL,,,
Senior AEM UI Developer,TechChefz,Already applied,Not Disclosed,"THIRD FLOOR, R-155, REAR PORTION, NEAR S BLOCK,, NEW DELHI, Delhi, India",No URL,,,
Backend Developer (.Net),,Not Applying because of keyword mentioned .net,,,No URL,,,
Full Stack PHP Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Senior DevSecOps Engineer,Fraud.net Inc,Applied Successfully,Not Disclosed,,No URL,,,
Senior DevSecOps Engineer,Fraud.net Inc,Already applied,Not Disclosed,,No URL,,,
Penetration Tester,Netsentries Infosec Solutions,Applied Successfully,Not Disclosed,,No URL,,,
Penetration Tester,Netsentries Infosec Solutions,Already applied,Not Disclosed,,No URL,,,
Sr. Python + React.js Developer,Augustcode Solutions Pvt. Ltd.,Applied Successfully,7.5-12 Lacs P.A.,"807, SNS Platina, Nr Reliance Mall, Vesu Surat, SURAT, Gujarat, India
https://www.augustinfotech.com/",No URL,,,
,,,,,,1. How many years of experience do you have in Python?*,radio,3 - 5
,,,,,,2. How many years of experience do you have in React.js?*,checkbox,['']
,,,,,,3. What is your current designation?*,checkbox,['']
.NET Developer,,Not Applying because of keyword mentioned .net,,,No URL,,,
