Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Angular js/react js and/or Node js/Python-Experienced candidates only,,Not Applying because of keyword mentioned angular,,,No URL,,,
Software Engineer (Java & Python),,Not Applying because of keyword mentioned java,,,No URL,,,
Python Automation Test Engineer,Advance Career Solutions,Applied Successfully,9-19 Lacs P.A.,,No URL,,,
Python Automation Test Engineer,Advance Career Solutions,"Company Banned You, LOL ! ",9-19 Lacs P.A.,,https://www.naukri.com/myapply/saveApply?strJobsarr=020623008331&applytype=single&resId=176533908&ApplyMode=1&logstr=--jobsearchDesk-3-F-0-1--16867261872469152-&id=&src=&reqId=&response=&questData=&multiApplyResp={%22020623008331%22:403}&https_apply=&jquery=1&edup=&applySrc=jobsearchDesk&isMobile=&actualDomain=www.naukri.com&interest=&https_apply=&cb=&fb=&appreqid=&ip=118.91.176.208&webApp=&jobTitle=Python%20Automation%20Test%20Engineer,,,
Java Developer - Spring Boot,,Not Applying because of keyword mentioned java,,,No URL,,,
Senior Software Engineer (Pyspark / Spark Developer),ICON plc,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://icon.wd3.myworkdayjobs.com/en-US/broadbean_external/job/India-Bangalore/Senior-Software-Engineer--Big-Data-Spark-Developer-_JR104414,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-data-engineer-unitedlex-gurgaon-gurugram-bangalore-bengaluru-2-to-6-years-030323005226?src=jobsearchDesk&sid=16867261872469152&xp=6&px=1,,,
Senior Scientist/NLP/Machine Learning/Data Mining Professional,Career Maker,Applied Successfully,Not Disclosed,,No URL,,,
Quantitative Developer / analyst,E Solutions,Applied Successfully,Not Disclosed,,No URL,,,
SecDevOps / DevOps Service Manager,Saaki Argus And Averil Consulting,Applied Successfully,Not Disclosed,India,No URL,,,
,,,,,,1. Current CTC?*,text,24
,,,,,,2. Expected CTC?*,text,Based on market standards
,,,,,,3. Notice period? in days?*,radio,Less than 15 days
,,,,,,4. Willing to relocate Bangalore?*,radio,Yes
Senior Business Analyst - FMCD,Serving Skill,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-software-engineering-r-d-specialist-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-6-years-130623904794?src=jobsearchDesk&sid=16867261872469152&xp=11&px=1,,,
Lead Software Engineer,Siemens,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://siemens.eightfold.ai/careers?pid=563156115871452&query=india&domain=siemens.com,,,
"Quality Assurance Engineer, Data Science","Epiq Systems, Inc.",Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://epiqsystems.wd5.myworkdayjobs.com/en-US/Epiq_Careers/job/IND-Hyderabad-Sohini-Tech-Park-3rd-Floor-Financial-District/Quality-Assurance-Engineer--Data-Science_R0025603,,,
Engineer - DevOps,Mobitv,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://xperi.com/careers/open-positions/?p=job%2FoDXFmfwl,,,
Engineer - DevOps,Tivo,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://jobs.jobvite.com/tivo/job/oDXFmfwl,,,
Machine Learning Embedded Platform Test - Sr Lead Engineer,Qcom,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://qualcomm.wd5.myworkdayjobs.com/en-US/External/job/Bangalore-IND/Machine-Learning-Embedded-Platform-Test_3051988-1,,,
Research Scientist - Machine Learning/Artificial Intelligence,Career Maker,Applied Successfully,Not Disclosed,,No URL,,,
Sr. Data Engineer - (Java + Spark),,Not Applying because of keyword mentioned java,,,No URL,,,
Jr. Fullstack Developer,Sony Corporation Of America,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/jobs/Bangalore/Jr-Fullstack-Developer_JR-113870,,,
Jr. Fullstack Developer,Sony,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/Bangalore/Jr-Fullstack-Developer_JR-113869-1,,,
