Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Jr. Virtualization Engineer/ Sr. Virtualization Engineer/ Lead,Dreambig It Solutions India,Applied Successfully,Not Disclosed,[],No URL,,,
Full Stack Developer (.NET + Angular),Abstrabit Technologies,Applied Successfully,10-15 Lacs P.A.,[],No URL,,,
,,,,,,1. How many years of experience do you have in .NET Core?*,radio,0 - 2
,,,,,,2. How many years of experience do you have in Angular? ,radio,0 - 2
Hiring .NET developers (Immediate joiners only),,Not Applying because of keyword mentioned .net,,,No URL,,,
Installation and Configuration Specialist,RMW India Services,Applied Successfully,9-18 Lacs P.A.,[],No URL,,,
"Full stake developers - Java, and PHP - Location - fulltime Home based",,Not Applying because of keyword mentioned php,,,No URL,,,
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Full Stack PHP Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
.NET Developer,,Not Applying because of keyword mentioned .net,,,No URL,,,
Binance Accelerator Program,Binance,Applied Successfully,Not Disclosed,[],No URL,,,
Binance Accelerator Program,Binance,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=090623500567&multiApplyResp={%22090623500567%22:202},,,
Android and ArcGis Developer (ArcGIS experience Mandatory),,Not Applying because of keyword mentioned android,,,No URL,,,
Documentum D2LS Developer,Datamatics,Applied Successfully,Not Disclosed,[],No URL,,,
"Full Stack Java Instructor- full time - Simplilearn,Bangalore/Bengaluru From 2 to 7 year(s) of experience",,Not Applying because of keyword mentioned java,,,No URL,,,
Senior ZOHO Developer,lk,Applied Successfully,Not Disclosed,[],No URL,,,
Salesforce Certified Commerce Cloud Developer - India Based - no c2c,Genesis Tech Solutions,Applied Successfully,Not Disclosed,[],No URL,,,
,,,,,,1. How many years of experience do you have in salesforce commerce cloud ? ,select-one,2 - 5
,,,,,,2. Are you Salesforce Commerce Cloud Certified?*,radio,Yes
Flutter Developer (OpenAI),,Not Applying because of keyword mentioned flutter,,,No URL,,,
"Remote - FULL Stack Developer(React,Remix,Typescript)",Accelpad Inc,Applied Successfully,Not Disclosed,"7924 Preston Rd, Other USA, USA",No URL,,,
,,,,,,1. How many years of experience do you have as a full stack engineer? ,select-one,2 - 3
,,,,,,2. Do you have hands on experience with React.js?? ,radio,Yes
,,,,,,3. Do you have hands on experience with Remix? ,radio,Yes
,,,,,,4. Do you have hands on experience with TypeScript? ,radio,Yes
B2B Content Writer | B2B technology focussed marketing company,unnati,Applied Successfully,Not Disclosed,[],No URL,,,
Product Communication Specialist| B2B technology focussed marketing co,unnati,Applied Successfully,Not Disclosed,[],No URL,,,
Content Marketer,Animaker,Applied Successfully,5-12 Lacs P.A.,[],No URL,,,
Presales Consultant - Retail Planning,Centric Software Inc,Applied Successfully,Not Disclosed,[],No URL,,,
Presales Consultant - Retail Planning,Centric Software Inc,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=080623500915&multiApplyResp={%22080623500915%22:202},,,
