Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Java Developer Backend - Software Engineer (Tele /Fin) - WFH Permanent,,Not Applying because of keyword mentioned java,,,No URL,,,
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Dot Net Developer,,Not Applying because of keyword mentioned dot,,,No URL,,,
"Full stake developers - Java, and PHP - Location - fulltime Home based",,Not Applying because of keyword mentioned php,,,No URL,,,
.Net MVC /.Net Core Developer,,Not Applying because of keyword mentioned .net,,,No URL,,,
Documentum D2LS Developer,Datamatics,Applied Successfully,Not Disclosed,[],No URL,,,
Hiring .NET developers (Immediate joiners only),,Not Applying because of keyword mentioned .net,,,No URL,,,
Info Archive,Datamatics,Applied Successfully,Not Disclosed,[],No URL,,,
Python Developer,Particle41,Applied Successfully,Not Disclosed,"Pune
https://particle41.com/",No URL,,,
Python Developer,Particle41,Already applied,Not Disclosed,"Pune
https://particle41.com/",No URL,,,
Hiring For MS Dynamics CRM Developer with Datamatics - Remote,Datamatics,Applied Successfully,16-20 Lacs P.A.,"Plot No. 58, Street No. 17,Andheri (East), Near Akruti Center, MUMBAI, Maharashtra - 400093,India",No URL,,,
PHP Web Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Senior Angular Engineer,,Not Applying because of keyword mentioned angular,,,No URL,,,
Azure DevOps Engineer,Rapidbrains,Applied Successfully,Not Disclosed,[],No URL,,,
Azure DevOps Engineer,Rapidbrains,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=310523502020&multiApplyResp={%22310523502020%22:202},,,
Drupal Developer,NR Consulting,Applied Successfully,8-12 Lacs P.A.,[],No URL,,,
Actimize Developer,Erastar,Applied Successfully,15-25 Lacs P.A.,[],No URL,,,
Web Developer-US Based - Work US Time ZONE Only,1 Source Bpo,Applied Successfully,5-10 Lacs P.A.,"1939 Parker Ct, Stone Mountain, GA 30087,",No URL,,,
Content Developer (Remote),Finoit Technologies,Applied Successfully,Not Disclosed,"B-101, 1st Floor, Tower B,, Noida One, Plot No.8, Block B, Sector 62, NOIDA, NOIDA, Uttar Pradesh, India",No URL,,,
Sr. SalesforceDeveloper,Ncube Infosolutions,Applied Successfully,Not Disclosed,[],No URL,,,
Sr. SalesforceDeveloper,Ncube Infosolutions,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=290523502102&multiApplyResp={%22290523502102%22:202},,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-business-analyst-salesforce-cpq-trantor-gurgaon-gurugram-haryana-3-to-8-years-250523009320?src=jobsearchDesk&sid=16863277853595385&xp=19&px=1,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-software-dev-engineer-c-net-sql-csg-international-bangalore-bengaluru-1-to-5-years-240323011143?src=jobsearchDesk&sid=16863277853595385&xp=20&px=1,,,
