Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Flutter Developer (OpenAI),,Not Applying because of keyword mentioned flutter,,,No URL,,,
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Dot Net Developer,,Not Applying because of keyword mentioned dot,,,No URL,,,
"Full stake developers - Java, and PHP - Location - fulltime Home based",,Not Applying because of keyword mentioned php,,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-software-dev-engineer-c-net-sql-csg-international-bangalore-bengaluru-1-to-5-years-240323011143?src=jobsearchDesk&sid=1686327598676983&xp=5&px=1,,,
.Net MVC /.Net Core Developer,,Not Applying because of keyword mentioned .net,,,No URL,,,
Tech Sales Representative (Information Technology),,Not Applying because of keyword mentioned sales,,,No URL,,,
Full Stack PHP Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Hiring For MS Dynamics CRM Developer with Datamatics - Remote,Datamatics,Applied Successfully,16-20 Lacs P.A.,"Plot No. 58, Street No. 17,Andheri (East), Near Akruti Center, MUMBAI, Maharashtra - 400093,India",No URL,,,
Android Developer,,Not Applying because of keyword mentioned android,,,No URL,,,
Android and ArcGis Developer (ArcGIS experience Mandatory),,Not Applying because of keyword mentioned android,,,No URL,,,
Documentum D2LS Developer,Datamatics,Applied Successfully,Not Disclosed,[],No URL,,,
"Full Stack Java Instructor- full time - Simplilearn,Bangalore/Bengaluru From 2 to 7 year(s) of experience",,Not Applying because of keyword mentioned java,,,No URL,,,
Business Development Manager,Cresita Tech It Solutions,Applied Successfully,9-12 Lacs P.A.,[],No URL,,,
React JS Developer,,Not Applying because of keyword mentioned react,,,No URL,,,
Java Developer Backend - Software Engineer (Tele /Fin) - WFH Permanent,,Not Applying because of keyword mentioned java,,,No URL,,,
Fullstack Developer,BI Hub Solution,Applied Successfully,Not Disclosed,[],No URL,,,
Enterprise Sales Manager_IT SaaS E-Commerce at StoreHippo,,Not Applying because of keyword mentioned sales,,,No URL,,,
Frontend Web Developer,,Not Applying because of keyword mentioned frontend,,,No URL,,,
Java developer with Alveo (Asset Control),,Not Applying because of keyword mentioned java,,,No URL,,,
