Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
ReactJS Engineer - WFH,Finoit Technologies,Applied Successfully,Not Disclosed,https://www.finoit.com/,No URL,,,
ReactJS Engineer - WFH,Finoit Technologies,Already applied,Not Disclosed,https://www.finoit.com/,No URL,,,
Data Scientist,Zelis,Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/login?redirect=%2Fen-US%2FZelisCareers%2Fjob%2FRemote%2FData-Scientist_JR102923%2Fapply%2FautofillWithResume,,,
Urgently Hiring For SailPoint Consultant (Hyderabad),Manpowergroup Services India,Applied Successfully,Not Disclosed,,No URL,,,
Urgently Hiring For SailPoint Consultant (Hyderabad),Manpowergroup Services India,"Company Banned You, LOL ! ",Not Disclosed,,https://www.naukri.com/myapply/saveApply?strJobsarr=260623005674&applytype=single&resId=176533908&ApplyMode=1&logstr=--jobsearchDesk-3-F-0-1--16878477668065526-&id=&src=&reqId=&response=&questData=&multiApplyResp={%22260623005674%22:403}&https_apply=&jquery=1&edup=&applySrc=jobsearchDesk&isMobile=&actualDomain=www.naukri.com&interest=&https_apply=&cb=&fb=&appreqid=&ip=118.91.176.212&webApp=&jobTitle=Urgently%20Hiring%20For%20SailPoint%20Consultant,,,
