Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
"System Testing Engineer (Embedded, Automotive domain)",VME Vhire Solutions,Applied Successfully,9-15 Lacs P.A.,[],No URL,,,
,,,,,,1. How many years of experience do you have in canoe ? ,select-one,2 - 4
,,,,,,2. How many years of experience do you have in canalyzer ? ,select-one,2 - 4
,,,,,,"3. Are you currently living in or ready to relocate to Bangalore/ Bengaluru, Karnataka ? ",radio,yes
,,,,,,4. What is your notice period / how soon can you join*,text,Immediate
