Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Python Developer,Megma Services,Applied Successfully,Not Disclosed,,No URL,,,
Software Developer,Live Eye Surveillance,Applied Successfully,Not Disclosed,,No URL,,,
Software Developer,Live Eye Surveillance,Already applied,Not Disclosed,,No URL,,,
ReactJS Engineer - WFH,Finoit Technologies,Applied Successfully,Not Disclosed,https://www.finoit.com/,No URL,,,
ReactJS Engineer - WFH,Finoit Technologies,Already applied,Not Disclosed,https://www.finoit.com/,No URL,,,
Angular Developer with 3+ years of exp. working with web development,,Not Applying because of keyword mentioned angular,,,No URL,,,
Urgently Hiring For SailPoint Consultant (Hyderabad),Manpowergroup Services India,Applied Successfully,Not Disclosed,,No URL,,,
Urgently Hiring For SailPoint Consultant (Hyderabad),Manpowergroup Services India,"Company Banned You, LOL ! ",Not Disclosed,,https://www.naukri.com/myapply/saveApply?strJobsarr=260623005674&applytype=single&resId=176533908&ApplyMode=1&logstr=--jobsearchDesk-5-F-0-1--16880206114802624-&id=&src=&reqId=&response=&questData=&multiApplyResp={%22260623005674%22:403}&https_apply=&jquery=1&edup=&applySrc=jobsearchDesk&isMobile=&actualDomain=www.naukri.com&interest=&https_apply=&cb=&fb=&appreqid=&ip=118.91.176.212&webApp=&jobTitle=Urgently%20Hiring%20For%20SailPoint%20Consultant,,,
