Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
.Net Full Stack Lead/Developer,,Not Applying because of keyword mentioned .net,,,No URL,,,
DevOps Engineer (AWS) || Remote,IGT Solutions,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
PMS Engineer/ Fleet System Specialist/Marine Engineering,Maxic Arrow,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
"Java Full Stack Developer - ATG Business Solutions,Hyderabad From 3 to 5 year(s) of experience",,Not Applying because of keyword mentioned java,,,No URL,,,
"Java Full Stack Developer - ATG Business Solutions,Hyderabad From 3 to 5 year(s) of experience",company_name,Applied on the company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-java-full-stack-developer-atg-business-solutions-hyderabad-3-to-5-years-090224008166?src=directSearch&sid=17077619829922084&xp=4&px=1,,,
Linux Administrator,Unifi Data Management Services,Applied Successfully,5-15 Lacs P.A.,No Recruiters Details Found,No URL,,,
Business Data Analyst - Night Shift (WFH),Indium Software,Applied Successfully,15-18 Lacs P.A.,No Recruiters Details Found,No URL,,,
Data Engineer,Aays Advisory,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Site Reliability Engineer,Granicus Inc,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
,,,,,,1. First Name*,text,Tushar
,,,,,,2. Last Name*,text,Malhan
"Java/AWS - Ness,Bengaluru From 3 to 5 year(s) of experience",company_name,Applied on the company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/myapply/saveApply?strJobsarr=040124009871&applytype=single&resId=176533908&ApplyMode=1&logstr=other-microsite&id=&src=&reqId=&response=&questData=&multiApplyResp={%22040124009871%22:200}&https_apply=&jquery=1&edup=&applySrc=&isMobile=&actualDomain=apply.naukri.com&interest=&https_apply=&cb=&fb=&appreqid=&ip=2409:40c0:105b:4ef:5dfd:4c11:ae99:7536&webApp=&jobTitle=Java/AWS,,,
Data Engineer trainer,Synergistic Compusoft,Applied Successfully,Not Disclosed,['9311223078'],No URL,,,
Data Engineer trainer,Synergistic Compusoft,Applied Successfully,Not Disclosed,['9311223078'],No URL,,,
Fullstack Python Developer,Aisentr,Applied Successfully,10-15 Lacs P.A.,No Recruiters Details Found,No URL,,,
