Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Data Analyst/Senior Analyst - R/SQL/Python,The Nikharv Consultancy,Applied Successfully,Not Disclosed,[],No URL,,,
Python Data Engineer,Mascot E-services,Applied Successfully,15-25 Lacs P.A.,[],No URL,,,
Software Engineer _ Core Java,,Not Applying because of keyword mentioned java,,,No URL,,,
Senior Analyst- Data Platform,Hike,Applied Successfully,Not Disclosed,[],No URL,,,
Backend Engineer - SQL / Django / RESTful API,Leenaai,Applied Successfully,Not Disclosed,[],No URL,,,
Technical Lead - Azure Databricks,Citiustech,Applied Successfully,Not Disclosed,[],No URL,,,
,,,,,,1. Please select Preferred Location*,select-one,US
,,,,,,2. Please select Availability*,select-one,Immediate
,,,,,,3. Please select year of experience*,select-one,4 years
L2/L3/Automation Test Engineer,Dreambig It Solutions India,Applied Successfully,Not Disclosed,[],No URL,,,
Cloud Data Engineer,Coforge,Applied Successfully,Not Disclosed,[],No URL,,,
,,,,,,1. How many years of experience do you have in scala ? ,text,3
,,,,,,2. How many years of experience do you have in python ?*,text,3
,,,,,,3. What is your expected annual CTC in INR ? ,text,Based on market standards
,,,,,,4. How soon can you join*,text,Immediate
Angular js/react js and/or Node js/Python-Experienced candidates only,,Not Applying because of keyword mentioned angular,,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-python-engineer-oneadvanced-ahmedabad-bangalore-bengaluru-vadodara-baroda-gujarat-3-to-6-years-090623004665?src=jobsearchDesk&sid=16863984436003657&xp=10&px=1,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-python-developer-omega-healthcare-chennai-tamil-nadu-bangalore-bengaluru-karnataka-3-to-5-years-060623005988?src=jobsearchDesk&sid=16863984436003657&xp=11&px=1,,,
Python Developer with Azure,Mind Waveai Solutions,Applied Successfully,12-14 Lacs P.A.,[],No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-software-developer-python-ramboll-hyderabad-secunderabad-2-to-4-years-240523009468?src=jobsearchDesk&sid=16863984436003657&xp=13&px=1,,,
Python Developer- Bangalore Marathahalli- office JOB,Team Plus Staffing Solution,Applied Successfully,5-12 Lacs P.A.,[],No URL,,,
Sr. Python Developer,Cloudare,Applied Successfully,Not Disclosed,[],No URL,,,
Python Developer | Hy-vee,Talent500,Applied Successfully,Not Disclosed,"Ground Floor, No. 3/7, 4 East Wing Prestige Sampa ngi Rama Nagar, , BANGALORE, Karnataka, India",No URL,,,
Python Developer - Bangalore,Citiustech,Applied Successfully,Not Disclosed,"41, TERITEX BUILDING, SAKI VIHAR ROAD Mumbai Suburban, Maharashtra, 400072, MUMBAI, Maharashtra, India",No URL,,,
Python Automation Test Engineer,Advance Career Solutions,Applied Successfully,9-19 Lacs P.A.,[],No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-data-engineer-with-strong-exp-on-sql-python-ivy-software-development-services-pvt-ltd-hyderabad-secunderabad-3-to-6-years-281022009900?src=jobsearchDesk&sid=16863984436003657&xp=19&px=1,,,
MLOps Engineer,Awone Datasciences,Applied Successfully,6-16 Lacs P.A.,[],No URL,,,
,,,,,,1. How many years of experience you have in Cloud?*,text,3
