Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Flutter Developer (OpenAI),,Not Applying because of keyword mentioned flutter,,,No URL,,,
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Dot Net Developer,,Not Applying because of keyword mentioned dot,,,No URL,,,
"Full stake developers - Java, and PHP - Location - fulltime Home based",,Not Applying because of keyword mentioned php,,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-software-dev-engineer-c-net-sql-csg-international-bangalore-bengaluru-1-to-5-years-240323011143?src=jobsearchDesk&sid=16863989927446846&xp=5&px=1,,,
Hiring For MS Dynamics CRM Developer with Datamatics - Remote,Datamatics,Applied Successfully,16-20 Lacs P.A.,"Plot No. 58, Street No. 17,Andheri (East), Near Akruti Center, MUMBAI, Maharashtra - 400093,India",No URL,,,
Tech Sales Representative (Information Technology),,Not Applying because of keyword mentioned sales,,,No URL,,,
Full Stack PHP Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Android Developer,,Not Applying because of keyword mentioned android,,,No URL,,,
Android and ArcGis Developer (ArcGIS experience Mandatory),,Not Applying because of keyword mentioned android,,,No URL,,,
Documentum D2LS Developer,Datamatics,Applied Successfully,Not Disclosed,[],No URL,,,
Java Angular Developer/work from Home,,Not Applying because of keyword mentioned angular,,,No URL,,,
React JS Developer,,Not Applying because of keyword mentioned react,,,No URL,,,
Java Developer Backend - Software Engineer (Tele /Fin) - WFH Permanent,,Not Applying because of keyword mentioned java,,,No URL,,,
Enterprise Sales Manager_IT SaaS E-Commerce at StoreHippo,,Not Applying because of keyword mentioned sales,,,No URL,,,
Java developer with Alveo (Asset Control),,Not Applying because of keyword mentioned java,,,No URL,,,
"Full Stack Java Instructor- full time - Simplilearn,Bangalore/Bengaluru From 2 to 7 year(s) of experience",,Not Applying because of keyword mentioned java,,,No URL,,,
.NET Developer,,Not Applying because of keyword mentioned .net,,,No URL,,,
Adobe Analytics Developer | Adobe Analyst |,RMW India Services,Applied Successfully,11-13 Lacs P.A.,[],No URL,,,
Adobe Analytics Developer,RMW India Services,Applied Successfully,6-13 Lacs P.A.,[],No URL,,,
