Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Java Developer Backend - Software Engineer (Tele /Fin) - WFH Permanent,,Not Applying because of keyword mentioned java,,,No URL,,,
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Dot Net Developer,,Not Applying because of keyword mentioned dot,,,No URL,,,
"Full stake developers - Java, and PHP - Location - fulltime Home based",,Not Applying because of keyword mentioned php,,,No URL,,,
Documentum D2LS Developer,Datamatics,Applied Successfully,Not Disclosed,[],No URL,,,
Java Angular Developer/work from Home,,Not Applying because of keyword mentioned angular,,,No URL,,,
Middle RPA Engineer (Automation Anywhere),Ciklum,Applied Successfully,Not Disclosed,[],No URL,,,
Middle RPA Engineer (Automation Anywhere),Ciklum,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=310523500792&multiApplyResp={%22310523500792%22:202},,,
Hiring .NET developers (Immediate joiners only),,Not Applying because of keyword mentioned .net,,,No URL,,,
Info Archive,Datamatics,Applied Successfully,Not Disclosed,[],No URL,,,
Python Developer,Particle41,Applied Successfully,Not Disclosed,"Pune
https://particle41.com/",No URL,,,
Python Developer,Particle41,Already applied,Not Disclosed,"Pune
https://particle41.com/",No URL,,,
Hiring For MS Dynamics CRM Developer with Datamatics - Remote,Datamatics,Applied Successfully,16-20 Lacs P.A.,"Plot No. 58, Street No. 17,Andheri (East), Near Akruti Center, MUMBAI, Maharashtra - 400093,India",No URL,,,
PHP Web Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Senior Angular Engineer,,Not Applying because of keyword mentioned angular,,,No URL,,,
React JS Developer,,Not Applying because of keyword mentioned react,,,No URL,,,
Software Tester,VHR Professional Services,Applied Successfully,35-45 Lacs P.A.,[],No URL,,,
Android Developer,,Not Applying because of keyword mentioned android,,,No URL,,,
Java developer with Alveo (Asset Control),,Not Applying because of keyword mentioned java,,,No URL,,,
Senior Salesforce Engineer-IT Services company-Remote,Team Plus Staffing Solution,Applied Successfully,Not Disclosed,[],No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-software-dev-engineer-c-net-sql-csg-international-bangalore-bengaluru-1-to-5-years-240323011143?src=jobsearchDesk&sid=16863991813685078&xp=19&px=1,,,
Middle Support Engineer,Agileengine,Applied Successfully,Not Disclosed,[],No URL,,,
