Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Software Developer,Live Eye Surveillance,Applied Successfully,Not Disclosed,,No URL,,,
Software Developer,Live Eye Surveillance,Already applied,Not Disclosed,,No URL,,,
"Backend Java Developer For Carematix, Inc - Fully Remote Work",,Not Applying because of keyword mentioned java,,,No URL,,,
Angular Developer with 3+ years of exp. working with web development,,Not Applying because of keyword mentioned angular,,,No URL,,,
Senior Android Developer,,Not Applying because of keyword mentioned android,,,No URL,,,
Full Stack Developer - Dot Net,,Not Applying because of keyword mentioned dot,,,No URL,,,
Business Development Executive,SunTec India,Applied Successfully,5-10 Lacs P.A.,"301,,VARDHMAN TIMES PLAZA, COMMUNITY CENTRE,ROAD N O.44,PITAMPURA , NEW DELHI, Delhi, India",No URL,,,
Urgent Hiring For Flutter Developer,,Not Applying because of keyword mentioned flutter,,,No URL,,,
PHP Web Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
React JS Developer,,Not Applying because of keyword mentioned react,,,No URL,,,
Salesforce Developer - Apex/Lightning Component Framework,,Not Applying because of keyword mentioned salesforce,,,No URL,,,
ReactJS Engineer - WFH,Finoit Technologies,Applied Successfully,Not Disclosed,https://www.finoit.com/,No URL,,,
ReactJS Engineer - WFH,Finoit Technologies,Already applied,Not Disclosed,https://www.finoit.com/,No URL,,,
Java Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
.Net Developer (Remote) # 29 RMT,,Not Applying because of keyword mentioned .net,,,No URL,,,
Software Engineer,Copious Consult,Applied Successfully,7-13 Lacs P.A.,,No URL,,,
React JS Developer,,Not Applying because of keyword mentioned react,,,No URL,,,
Software Engineer (Salesforce - Marketing Cloud),,Not Applying because of keyword mentioned salesforce,,,No URL,,,
Inside Sales Specialist (Female),,Not Applying because of keyword mentioned sales,,,No URL,,,
Full stack developer - Angular & .NET (Remote),,Not Applying because of keyword mentioned angular,,,No URL,,,
Stibo MDM Developer /Lead (Permanent Remote),Apptad,Applied Successfully,15-25 Lacs P.A.,,No URL,,,
,,,,,,1. Must Exp in STIBO*,radio,Yes
SalesForce Vlocity Developer,,Not Applying because of keyword mentioned salesforce,,,No URL,,,
