Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Data Engineer,Invicta India,Applied Successfully,8-14 Lacs P.A.,"Goa, India",No URL,,,
,,,,,,1. How many years of experience do you have in sql/Python?*,text,3
,,,,,,2. What is the notice period in your current company ?*,text,Can join on Immediate Basis
,,,,,,3. What is your expected annual CTC in INR ?*,text,"Based on market standards, open to negotiate"
ReactJS Engineer - WFH,Finoit Technologies,Applied Successfully,Not Disclosed,https://www.finoit.com/,No URL,,,
ReactJS Engineer - WFH,Finoit Technologies,Already applied,Not Disclosed,https://www.finoit.com/,No URL,,,
