Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Full Stack Developer (Python & ReactJS),,Not Applying because of keyword mentioned reactjs,,,No URL,,,
Perl Developer | Immediate Joiner,,Not Applying because of keyword mentioned perl,,,No URL,,,
Senior Data Engineer - Pune - Rudder Analytics,Rudder Analytics,Applied Successfully,8-16 Lacs P.A.,No Recruiters Details Found,No URL,,,
Exciting Opportunity For PHP & Python Developer || Shipco IT,,Not Applying because of keyword mentioned php,,,No URL,,,
