Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
DV AWS Engineer (3 To 5 years) - On Contract Only,Lemon Tree Staffing,Applied Successfully,8-13 Lacs P.A.,,No URL,,,
,,,,,,1. How many years of experience do you have in aws ? ,radio,3 - 5
,,,,,,2. How many years of experience do you have in python ? ,radio,3 - 5
,,,,,,3. Are you currently living in or ready to relocate to Bangalore/Bengaluru ? ,radio,yes
,,,,,,4. What is your expected annual CTC in INR ? ,radio,"Rs.1,050,000.00 - Rs.1,300,000.00"
,,,,,,5. What is the notice period in your current company ? ,radio,less than 15 days
Data Scientist/Senior Data Scientist,Pocket Fm,Applied Successfully,Not Disclosed,"B1/201,,PWO HOUSING COMPLEX,SECTOR 43,GURGOAN , GURGAON, Haryana, India",No URL,,,
Conga Hiring Senior Cloud Security Engineer -Bangalore,Conga,Applied Successfully,12-22 Lacs P.A.,"Ahmedabad,Bangalore,Pune,Chennai",No URL,,,
,,,,,,1. First Name*,text,Tushar
,,,,,,2. Last Name*,text,Malhan
,,,,,,3. Notice Period*,radio,15 Days or less
Front-End Developer with React JS,,Not Applying because of keyword mentioned react,,,No URL,,,
