Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Marketing Cloud Developer,Astrea It Services,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Lead/ Senior Software Engineer- .Net,,Not Applying because of keyword mentioned .net,,,No URL,,,
.Net Core Angular Full Stack Developer,,Not Applying because of keyword mentioned angular,,,No URL,,,
Senior Dot Net Developer (.Net) Full Stack,,Not Applying because of keyword mentioned dot,,,No URL,,,
Hiring | Senior Salesforce Developer,,Not Applying because of keyword mentioned salesforce,,,No URL,,,
Salesforce Developer,,Not Applying because of keyword mentioned salesforce,,,No URL,,,
Senior Angular Developer | Fully Remote | Hybrid | x4,,Not Applying because of keyword mentioned angular,,,No URL,,,
Full Stack .Net Developer,,Not Applying because of keyword mentioned .net,,,No URL,,,
Senior Angular Developer | Fully Remote | Hybrid | x4,,Not Applying because of keyword mentioned angular,,,No URL,,,
C++ Software Developer,,Not Applying because of keyword mentioned c++,,,No URL,,,
Java Back End Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
,,,,,,1. Willing to do Australian shift timings from 2.30 AM- 11.30 AM?*,radio,Yes
,,,,,,2. Open for Remote work and Night shift?*,radio,Yes
,,,,,,"3. Mention your Technical skills used from these. Java, Redhat linux and putty?*",text,"Python, AWS, CICD, Terraform, Bash, Docker, Kubernetes, Django, Flask, FastApi, Automation, MlOps"
,,,,,,4. Experience in Technical support or Product support?*,checkbox,"['1-2 yr', '2-4 yrs']"
"Technical Support Specialist - Dealersocket,Delhi / NCR From 2 to 4 year(s) of experience",company_name,Applied on the company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/myapply/saveApply?strJobsarr=290823010056&applytype=single&resId=176533908&ApplyMode=1&logstr=other-microsite&id=&src=&reqId=&response=&questData=&multiApplyResp={%22290823010056%22:200}&https_apply=&jquery=1&edup=&applySrc=&isMobile=&actualDomain=apply.naukri.com&interest=&https_apply=&cb=&fb=&appreqid=&ip=103.129.193.115&webApp=&jobTitle=Technical%20Support%20Specialist,,,
Full Stack Dot Net Developer,,Not Applying because of keyword mentioned dot,,,No URL,,,
Windows Developer,Cybertel Infotech,Applied Successfully,7-11 Lacs P.A.,No Recruiters Details Found,No URL,,,
Hiring blockchain Developer Work from Home/ WFH,,Not Applying because of keyword mentioned blockchain,,,No URL,,,
Mobile Application Developer,Cybertel Infotech,Applied Successfully,6.5-10 Lacs P.A.,No Recruiters Details Found,No URL,,,
Hardware Design Engineer,Bhuvicube Technologies,Applied Successfully,6.5-10 Lacs P.A.,No Recruiters Details Found,No URL,,,
Ui Ux Developer,,Not Applying because of keyword mentioned ui,,,No URL,,,
Business Intelligence Developer,KDM Dotsoft Developers,Applied Successfully,6.5-10 Lacs P.A.,No Recruiters Details Found,No URL,,,
Archer IRM Developer,9nexus Limited,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
