Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Python Django Developer (SE 2 - Software Engineer),Detect Technologies,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Full Stack Developer (Python & ReactJS),,Not Applying because of keyword mentioned reactjs,,,No URL,,,
Perl Developer | Immediate Joiner,,Not Applying because of keyword mentioned perl,,,No URL,,,
Consultant Diligent Highbond,Pratyin Infotech Consulting Pvt Ltd,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Django Developer,Rakt Innovations,Applied Successfully,8-18 Lacs P.A.,No Recruiters Details Found,No URL,,,
Django Developer,Rakt,Applied Successfully,8-18 Lacs P.A.,No Recruiters Details Found,No URL,,,
Exciting Opportunity For PHP & Python Developer || Shipco IT,,Not Applying because of keyword mentioned php,,,No URL,,,
Flutter Developer @ ITDM,,Not Applying because of keyword mentioned flutter,,,No URL,,,
"Data Scientist - Recommendation, Content Science",Pocket Fm,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Hiring data scientist / Work from Home / WFH For leading MNC,Leading MNC,Applied Successfully,6-16 Lacs P.A.,No Recruiters Details Found,No URL,,,
Java Full Stack Contractor,,Not Applying because of keyword mentioned java,,,No URL,,,
