Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Senior Software Engineer - Backend (NodeJs/Python),Tailnode,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Software Engineer - Backend (NodeJs/Python),Tailnode,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Software Engineer - Frontend (Remote Work),,Not Applying because of keyword mentioned frontend,,,No URL,,,
Application Support Engineer L3,Hyqoo,Applied Successfully,10-20 Lacs P.A.,No Recruiters Details Found,No URL,,,
Code Developer,Gita It,Applied Successfully,6.5-10 Lacs P.A.,No Recruiters Details Found,No URL,,,
