Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Full Stack PHP Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-software-dev-engineer-c-net-sql-csg-international-bangalore-bengaluru-1-to-5-years-240323011143?src=jobsearchDesk&sid=16857253643743058&xp=2&px=1,,,
Shopify Developer,CES Information Technologies & BPS,Applied Successfully,Not Disclosed,"TOWER A,7TH FLOOR,RAMKY SELENIUM,NANAKRAMGUDA, FIN, ANCIAL DISTRICT,GACHIBOWLI, HYDERABAD, Hyderabad, Telangana, India",No URL,,,
React Native Developer,,Not Applying because of keyword mentioned react,,,No URL,,,
Bulbshare Product Designer UX,Bulbshare,Applied Successfully,Not Disclosed,[],No URL,,,
Bulbshare Product Designer UX,Bulbshare,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=020623501320&multiApplyResp={%22020623501320%22:202},,,
English Language Arts Test Developer,Learning Az,Applied Successfully,Not Disclosed,[],No URL,,,
English Language Arts Test Developer,Learning Az,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=020623501178&multiApplyResp={%22020623501178%22:202},,,
Filecoin TLDR Externship Program,Protocol,Applied Successfully,Not Disclosed,[],No URL,,,
Senior Python Developer,Selectkaro India,Applied Successfully,8-18 Lacs P.A.,"107-A/1, K.H. NO. 37/14, GROUND FLOOR,BLOCK-D,, NEW DELHI, Delhi, India",No URL,,,
Python/ SQL Developer - Fully WFH,Itforte Staffing Services,Applied Successfully,Not Disclosed,[],No URL,,,
,,,,,,1. How many years of experience do you have in python ? ,radio,3 - 6
,,,,,,2. What is the notice period in your current company ? ,radio,Less than 1 month
Oracle Applications (EBS) Technical Developer,Scketch Digital Solutions,Applied Successfully,9-15 Lacs P.A.,[],No URL,,,
,,,,,,1. Have you worked on END to END Implementations*,radio,Yes
Senior React Front End Developer,,Not Applying because of keyword mentioned react,,,No URL,,,
Angular Developer,,Not Applying because of keyword mentioned angular,,,No URL,,,
Senior Software Engineer .NET,,Not Applying because of keyword mentioned .net,,,No URL,,,
Etl Developer,Aliqan Services,Applied Successfully,9-15 Lacs P.A.,[],No URL,,,
Servicenow Developer,Czario Consultancy Services,Applied Successfully,15-20 Lacs P.A.,[],No URL,,,
