Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Apigee Developer,Quest Global,Applied Successfully,Not Disclosed,"second floor, PRIMROSE7B, Embassy Tech Village SEZ esana Halli, Varthur Hobli, Bangalore, BANGALORE, Karnataka, India",No URL,,,
Full Stack Developer - Python / Vue.js,Talent Acquisition Consultant,Applied Successfully,Not Disclosed,[],No URL,,,
Data management-python,Imaginators Try Going Beyond,Applied Successfully,10-20 Lacs P.A.,[],No URL,,,
Data Scientist,IBS Software Services,Applied Successfully,Not Disclosed,[],No URL,,,
Data Scientist,IBS Software Services,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=010623500402&multiApplyResp={%22010623500402%22:202},,,
Software Application Developer,Iioa Trainings And Placements,Applied Successfully,Not Disclosed,[],No URL,,,
Data Engineer,Buyersroad,Applied Successfully,10-16 Lacs P.A.,"THIRD FLOOR, NO.139/4, KODAMBAKKAM HIGH ROAD , Chennai, Tamilnadu, India",No URL,,,
Frontend Engineer [React],,Not Applying because of keyword mentioned frontend,,,No URL,,,
Quality Analyst,Tookitaki,Applied Successfully,Not Disclosed,[],No URL,,,
"Application Engineer ADAS C++, Python and Verification",Valuable Consulting And Technologies,Applied Successfully,Not Disclosed,[],No URL,,,
"Application Engineer ADAS C++, Python and Verification",Valuable Consulting And Technologies,Applied Successfully,Not Disclosed,[],No URL,,,
Python API developer,Valuable Consulting And Technologies,Applied Successfully,Not Disclosed,[],No URL,,,
"Polarion Developer (ALM Dev and Admin) with C#,Python,SQL Denmark MNC",Valuable Consulting And Technologies,Applied Successfully,Not Disclosed,[],No URL,,,
,,,,,,1. Please state years of an experience in Polarion ALM Development and explain projects*,text,Uttarakhand
,,,,,,3. Please state current CTC and expected CTC in INR LPA*,text,Uttarakhand
,,,,,,4. Please state notice period in days*,text,Uttarakhand
,,,,,,5. Why do you think you fit in to this role? Detailed explanation only will be considered*,text,My ability to independently tackle such demanding projects is a testament to my growth and dedication as a professional. I am confident that my experience and skills make me well-equipped to take on even more ambitious endeavors in the future.
,,,,,,6. Please state top three accomplishments as ALM Developer. No answers/Short wl be rejected*,text,Uttarakhand
,,,,,,7. Highlight your expr in detail on Polarion ALM Configuration and Administration*,text,website development
,,,,,,8. Pl mention Scripting/ Languages dealth with as ALM developer and explain in detail usage in projects*,text,"python, aws , bash cli, sdk"
,,,,,,9. Pl highlight experience in DOORS if you have any along with development experience*,text,automation exp doing manual work by candidates
,,,,,,10. Please mention ALMs worked with and years of an experience for each as Dev/Admin/Config etc*,text,3
"Polarion Developer (ALM Dev and Admin) with C#,Python,SQL Denmark MNC",Valuable Consulting And Technologies,Submission Failed ,Not Disclosed,[],https://www.naukri.com/myapply/saveApply?strJobsarr=010623010155&applytype=single&resId=176533908&ApplyMode=1&logstr=--jobsearchDesk-12-F-0-1--16857248433532752-&id=&src=&reqId=&response=&questData=&multiApplyResp={%22010623010155%22:200}&https_apply=&jquery=1&edup=&applySrc=jobsearchDesk&isMobile=&actualDomain=www.naukri.com&interest=&https_apply=&cb=&fb=&appreqid=&ip=14.102.12.246&webApp=&jobTitle=Polarion%20Developer%20(ALM%20Dev%20and%20Admin)%20w,,,
Python Automation Test Engineer,Advance Career Solutions,Applied Successfully,9-19 Lacs P.A.,[],No URL,,,
Tcs Hiring For Python Developer | Bangalore Location,Tata Consultancy Services (TCS),Applied Successfully,Not Disclosed,[],No URL,,,
Senior Site Reliability Engineer - Java/Python,Toast,Applied Successfully,Not Disclosed,[],No URL,,,
Python Developer - Web scraping,GM WARE,Applied Successfully,Not Disclosed,[],No URL,,,
Embedded C developer with MCAL and Python German MNC,Valuable Consulting And Technologies,Applied Successfully,Not Disclosed,[],No URL,,,
"Associate , Data Intelligence Group",Tresvista Financial Services,Applied Successfully,Not Disclosed,[],No URL,,,
Windows Administrator,Tata Consultancy Services (TCS),Applied Successfully,Not Disclosed,"Voltas Compound, Yantra Park, Voltas Compound, Thane West, Thane, THANE, Maharashtra, India",No URL,,,
Data Engineering Specialist,Baker Hughes,Applied Successfully,Not Disclosed,[],No URL,,,
,,,,,,1. Please choose your state*,select-one,Uttarakhand
,,,,,,2. Please provide your City*,select-one,Haridwar
,,,,,,3. Gender*,select-one,Male
