Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
"Dot Net Engineer with Web APIs, SQL Server exp (3-6 years)",,Not Applying because of keyword mentioned dot,,,No URL,,,
"Senior Software Engineer- Java Developer || Java8, Springboot ,MongoDB",Innodata Isogen,Applied Successfully,Not Disclosed,"C-25,8TH,STELLAR IT PARK,SECTOR 62,NOIDA, NOIDA, Uttar Pradesh, India",No URL,,,
Documentum D2LS Developer,Datamatics,Applied Successfully,Not Disclosed,,No URL,,,
Documentum D2LS Developer,Datamatics,"Company Banned You, LOL ! ",Not Disclosed,,https://www.naukri.com/myapply/saveApply?strJobsarr=280323010621&applytype=single&resId=176533908&ApplyMode=1&logstr=--jobsearchDesk-3-F-0-1--16873451369442556-&id=&src=&reqId=&response=&questData=&multiApplyResp={%22280323010621%22:403}&https_apply=&jquery=1&edup=&applySrc=jobsearchDesk&isMobile=&actualDomain=www.naukri.com&interest=&https_apply=&cb=&fb=&appreqid=&ip=118.91.176.208&webApp=&jobTitle=Documentum%20%20D2LS%20Developer,,,
Web Specialist,"PerkinElmer, Inc.",Applied Successfully,Not Disclosed,,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,,https://perkinelmer.wd1.myworkdayjobs.com/en-US/External/job/India---Remote/Web-Specialist_JR-036911,,,
Software Developer - Dot Net,,Not Applying because of keyword mentioned dot,,,No URL,,,
New requirement - KONY DBX developer - Contractual - MGS Technology,Gfi Informatique,Applied Successfully,7-17 Lacs P.A.,,No URL,,,
,,,,,,1. Do you have hands on exp. on Temenos DBX and temenos platform *,radio,Yes
,,,,,,2. How many years of exp. you have*,radio,3
,,,,,,3. Are you comfortable for onsite opportunity*,radio,Yes
US Sales -Forever Work from Home - IT multi national,,Not Applying because of keyword mentioned sales,,,No URL,,,
"Adobe Campaign Developer | 2-5Yrs. Exp | Moonraft | Bangalore, Pune",,Not Applying because of keyword mentioned adobe,,,No URL,,,
Dot Net With Shopify Developer,,Not Applying because of keyword mentioned dot,,,No URL,,,
PHP Web Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Cloud Security and Azure Technology Specialist,,Not Applying because of keyword mentioned azure,,,No URL,,,
Business Development Manager/Executive,Axtechnosoft,Applied Successfully,7-14 Lacs P.A.,"501, Shivalik Appartments Sector 10 A, GURUGRAM, Gurgaon, Haryana, 122001, GURGAON, Haryana, India",No URL,,,
,,,,,,1. How many years of experience in BDM (US Staffing)*,radio,2+
Senior .NET Developer (Dot Net) & Junior .NET Developer (Dot Net),,Not Applying because of keyword mentioned dot,,,No URL,,,
Salesforce QA,TechBlocks,Applied Successfully,Not Disclosed,,No URL,,,
,,,,,,1. How many years of experience do you have in Manual testing ? ,radio,2 - 3
,,,,,,2. What is the notice period in your current company ? ,select-one,less than 15 days
,,,,,,3. How many years of experience do you have in CPQ ? ,radio,0 - 2
Apache Nifi Developer,Ncircle Tech,Applied Successfully,10-15 Lacs P.A.,"UNIT - II, OFFICE NO.3,4TH FLOOR,IT7, QUBIX SEZ, B LUE RIDGE TOWNSHIP,PHASE I,HINJEWADI , PUNE, Maharashtra, India",No URL,,,
,,,,,,2. How many years of experience do you have in node.js ? ,select-one,2 - 3
Fullstack Developer,Zee Paramarsh,Applied Successfully,Not Disclosed,,No URL,,,
Fullstack Developer,Enlace Solutions,Applied Successfully,6-16 Lacs P.A.,Remote,No URL,,,
.NET Fullstack Web Developer,,Not Applying because of keyword mentioned .net,,,No URL,,,
Salesforce Lightning Developer,Addonblue India,Applied Successfully,Not Disclosed,,No URL,,,
,,,,,,1. Total work experience in Salesforce Lightning Development*,text,3
,,,,,,2. List the Salesforce cloud projects you have been involved*,text,Pipelines aws multiple AWS accounts
,,,,,,3. List the Salesforce certifications active currently*,text,New certifications yet
,,,,,,4. List the areas you are strong in Salesforce Development*,text,Dealing with client requirements and executing it
,,,,,,5. Current Location*,text,Mumbai
,,,,,,6. List the Salesforce clients you worked for during the tenure?*,text,Pesceive arise thingpalm
,,,,,,7. Current Organization and Designation*,text, be safe ask Cloud Engineer
,,,,,,8. Current CTC*,text,24
,,,,,,9. Official Notice Period*,text,Can join on Immediate basis
,,,,,,10. How soon will you be able to Manage to join AddonBlue*,text,Can join on Immediate basis
