Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Cloud Data Engineers,Dimension Data,Applied Successfully,Not Disclosed,[],No URL,,,
Cloud Data Engineers,Dimension Data,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=060623500029&multiApplyResp={%22060623500029%22:202},,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-software-dev-engineer-c-net-sql-csg-international-bangalore-bengaluru-1-to-5-years-240323011143?src=jobsearchDesk&sid=16861407770455760&xp=2&px=1,,,
Hiring For MS Dynamics CRM Developer with Datamatics - Remote,Datamatics,Applied Successfully,16-20 Lacs P.A.,"Plot No. 58, Street No. 17,Andheri (East), Near Akruti Center, MUMBAI, Maharashtra - 400093,India",No URL,,,
Full Stack PHP Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Backend Developer (Immediate),Semusi Technologies,Applied Successfully,6-11 Lacs P.A.,[],No URL,,,
Backend Developer (Immediate),Semusi Technologies,Already applied,6-11 Lacs P.A.,[],No URL,,,
Hubspot Engineer,EXP Global,Applied Successfully,5-15 Lacs P.A.,[],No URL,,,
Hubspot Engineer,EXP Global,Already applied,5-15 Lacs P.A.,[],No URL,,,
Enterprise Sales Manager_IT SaaS E-Commerce at StoreHippo,,Not Applying because of keyword mentioned sales,,,No URL,,,
OUAF Developer,RIA Advisory,Applied Successfully,Not Disclosed,[],No URL,,,
OUAF Developer,RIA Advisory,Already applied,Not Disclosed,[],No URL,,,
Java developer with Alveo (Asset Control),,Not Applying because of keyword mentioned java,,,No URL,,,
"Full Stack Java Instructor- full time - Simplilearn,Bangalore/Bengaluru From 2 to 7 year(s) of experience",,Not Applying because of keyword mentioned java,,,No URL,,,
Hiring .NET developers,,Not Applying because of keyword mentioned .net,,,No URL,,,
Python Developer,Megma Services,Applied Successfully,Not Disclosed,[],No URL,,,
Python Developer,Megma Services,Already applied,Not Disclosed,[],No URL,,,
Strategic Enterprise Account Executive,Gitlab,Applied Successfully,Not Disclosed,[],No URL,,,
Strategic Enterprise Account Executive,Gitlab,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=070623500083&multiApplyResp={%22070623500083%22:202},,,
Civil Engineer-Cabinetry For a US Client,Winfort,Applied Successfully,7-13 Lacs P.A.,[],No URL,,,
Civil Engineer-Cabinetry For a US Client,Winfort,Already applied,7-13 Lacs P.A.,[],No URL,,,
Senior Software Engineer (CRM),Nalashaa,Applied Successfully,Not Disclosed,[],No URL,,,
Senior Software Engineer (CRM),Nalashaa,Already applied,Not Disclosed,[],No URL,,,
PHP Web Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Flutter developer,,Not Applying because of keyword mentioned flutter,,,No URL,,,
Universal Windows Platform (UWP) Engineer,Finoit Technologies,Applied Successfully,Not Disclosed,"B-101, 1st Floor, Tower B, Noida One, Plot No.8, Block B, Sector 62 NOIDA, NOIDA, Uttar Pradesh, India
https://www.finoit.com/",No URL,,,
Universal Windows Platform (UWP) Engineer,Finoit Technologies,Already applied,Not Disclosed,"B-101, 1st Floor, Tower B, Noida One, Plot No.8, Block B, Sector 62 NOIDA, NOIDA, Uttar Pradesh, India
https://www.finoit.com/",No URL,,,
Ruby On Rails Developer,Itsacheckmatecom Services India,Applied Successfully,Not Disclosed,"A703, Patidar Complex, Kannamwar Nagar 2 Mumbai City, Maharashtra, MUMBAI, Maharashtra, India",No URL,,,
Ruby On Rails Developer,Itsacheckmatecom Services India,Already applied,Not Disclosed,"A703, Patidar Complex, Kannamwar Nagar 2 Mumbai City, Maharashtra, MUMBAI, Maharashtra, India",No URL,,,
Statistical Programmer,Clinovo (india) Llp,Applied Successfully,Not Disclosed,"Nanakramguda,3rd Floor, Plot No.40 41, , Rangareddy, Telangana, Hyderabad, Telangana, India
https://clinovo.com/",No URL,,,
