Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Microsoft Dynamics CRM Developer,Folkfactor Technologies,Applied Successfully,Not Disclosed,[],No URL,,,
Cypress Automation Engineer,Motifire Management Services,Applied Successfully,5-10 Lacs P.A.,[],No URL,,,
Cypress Automation Engineer,Motifire Management Services,Already applied,5-10 Lacs P.A.,[],No URL,,,
Product Support Engineer,RAAPID.AI,Applied Successfully,Not Disclosed,"B-604, WALLSTREET-2, NR. GUJARAT COLLAGE, Ahmedabad, Gujarat, 380006, AHMEDABAD, Gujarat, India",No URL,,,
Product Support Engineer,RAAPID.AI,Already applied,Not Disclosed,"B-604, WALLSTREET-2, NR. GUJARAT COLLAGE, Ahmedabad, Gujarat, 380006, AHMEDABAD, Gujarat, India",No URL,,,
Hiring .NET developers,,Not Applying because of keyword mentioned .net,,,No URL,,,
Sr. Analyst Tableau - Top Analytics Providers Global - Remote Role,Brainsearch Consulting,Applied Successfully,7-10 Lacs P.A.,[],No URL,,,
Data Engineer/MSBI Developer/Support Analyst,Uvxcel It Solutions,Applied Successfully,Not Disclosed,[],No URL,,,
Fullstack Developer,Technoxander India Private Limited,Applied Successfully,Not Disclosed,[],No URL,,,
,,,,,,1. What is the notice period in your current company ? ,text,Immediate
,,,,,,2. What is the earliest date you can start? ,text,immediate
,,,,,,3. What is your current annual CTC in INR ? ,text,24
,,,,,,4. What is your expected annual CTC in INR ? ,text,Based on market standards
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Backend Developer (Immediate),Semusi Technologies,Applied Successfully,6-11 Lacs P.A.,[],No URL,,,
Backend Developer (Immediate),Semusi Technologies,Already applied,6-11 Lacs P.A.,[],No URL,,,
Business Development Manager,Claritus Management Consulting,Applied Successfully,6-16 Lacs P.A.,[],No URL,,,
,,,,,,1. How many years of experience do you have in client acquisition ? ,select-one,2 - 5
,,,,,,2. How many years of experience do you have in it sales ? ,select-one,0 - 1
,,,,,,3. What is your expected annual CTC in INR ? ,radio,"Rs.1,600,000.00 - Rs.2,600,000.00"
,,,,,,4. What is the notice period in your current company ? ,select-one,less than 15 days
Full Stack PHP Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Network and System Administrator (Night Shift),Newage Products,Applied Successfully,Not Disclosed,[],No URL,,,
Installation and Configuration Specialist - OpenText,Awign Enterprises,Applied Successfully,Not Disclosed,[],No URL,,,
,,,,,,1. How many years of experience do you have with Opentext Installation and Configuration?*,radio,2-3
,,,,,,2. How many years of experience do you have with OpenText products?*,radio,2-3
,,,,,,3. What is the tenure of the notice period in the current organization? (In Days) *,radio,0-15 days
Android Application Developer,Raag Music Therapy,Applied Successfully,5-10 Lacs P.A.,[],No URL,,,
Sr. Salesforce Developer,GraphiteRx,Applied Successfully,Not Disclosed,[],No URL,,,
,,,,,,1. How many years of experience do you have in Salesforce ?*,select-one,2 - 3
,,,,,,2. Are you comfortable working US hours *,radio,Yes
Hubspot Engineer,EXP Global,Applied Successfully,5-15 Lacs P.A.,[],No URL,,,
Hubspot Engineer,EXP Global,Already applied,5-15 Lacs P.A.,[],No URL,,,
Enterprise Sales Manager_IT SaaS E-Commerce at StoreHippo,,Not Applying because of keyword mentioned sales,,,No URL,,,
OUAF Developer,RIA Advisory,Applied Successfully,Not Disclosed,[],No URL,,,
OUAF Developer,RIA Advisory,Already applied,Not Disclosed,[],No URL,,,
Java developer with Alveo (Asset Control),,Not Applying because of keyword mentioned java,,,No URL,,,
"Full Stack Java Instructor- full time - Simplilearn,Bangalore/Bengaluru From 2 to 7 year(s) of experience",,Not Applying because of keyword mentioned java,,,No URL,,,
