Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Golang Developer - Python/AWS,Career Infosystem,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Golang Developer - Python/AWS,Career Infosystem,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Python Developer - Microservices Architecture/MongoDB,Muoro,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Python Developer - Microservices Architecture/MongoDB,Muoro,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Bigdata/Hadoop Developer - Java/Spark/Python,Vision Excel Career Solutions,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Bigdata/Hadoop Developer - Java/Spark/Python,Vision Excel Career Solutions,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Data Analyst - Python / Pandas,Career Infosystem,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Data Analyst - Python / Pandas,Career Infosystem,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Backend Developer - Artificial Intelligence/Machine Learning,HyrEzy Talent Solutions,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Backend Developer - Artificial Intelligence/Machine Learning,HyrEzy Talent Solutions,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Backend Developer - Artificial Intelligence/Machine Learning,Hyrezy Talent Solutions,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Backend Developer - Artificial Intelligence/Machine Learning,Hyrezy Talent Solutions,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-cn-comms-media-japan-bilingual-consultant-accenture-solutions-pvt-ltd-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-2-to-7-years-310523910555?src=jobsearchDesk&sid=16855493717822662&xp=7&px=1,,,
Azure Data Engineer - Python/SQL,Career Infosystem,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Azure Data Engineer - Python/SQL,Career Infosystem,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Python Lead,Cogniquest Technologies,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Python Lead,Cogniquest Technologies,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-cn-comms-media-japan-bilingual-manager-accenture-solutions-pvt-ltd-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-delhi-ncr-2-to-7-years-310523910554?src=jobsearchDesk&sid=16855493717822662&xp=10&px=1,,,
Software Engineer - Golang / Python Programming,iMindYourBusiness,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Software Engineer - Golang / Python Programming,iMindYourBusiness,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-python-software-developer-replicon-bangalore-bengaluru-3-to-6-years-310523003775?src=jobsearchDesk&sid=16855493717822662&xp=12&px=1,,,
Software Engineer - C++ / Python / Linux,HyrEzy Talent Solutions,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Software Engineer - C++ / Python / Linux,HyrEzy Talent Solutions,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Backend Engineer - Node.js/Python,iMindYourBusiness,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Backend Engineer - Node.js/Python,iMindYourBusiness,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Backend Developer - Java/Python/Golang,Hyrezy Talent Solutions,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Backend Developer - Java/Python/Golang,Hyrezy Talent Solutions,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Backend Engineer - GraphDB/Node.js/Python/MySQL,iMindYourBusiness,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Backend Engineer - GraphDB/Node.js/Python/MySQL,iMindYourBusiness,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Python Developer,Infotrack Telematics,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Python Developer,Infotrack Telematics,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-data-engineer-with-strong-exp-on-sql-python-ivy-software-development-services-pvt-ltd-hyderabad-secunderabad-3-to-6-years-281022009900?src=jobsearchDesk&sid=16855493717822662&xp=18&px=1,,,
Embedded Software Developer - C/Python,Career Infosystem,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Embedded Software Developer - C/Python,Career Infosystem,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Python Developer - MongoDB/Kafka,Career Infosystem,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Python Developer - MongoDB/Kafka,Career Infosystem,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
