Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-python-software-developer-replicon-bangalore-bengaluru-3-to-6-years-310523003775?src=jobsearchDesk&sid=16855301501393338&xp=1&px=1,,,
Tech Lead / Staff Software Engineer,Iterative Knowledge Solutions,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Tech Lead / Staff Software Engineer,Iterative Knowledge Solutions,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-devops-engineer-allegis-group-bangalore-bengaluru-3-to-6-years-090523003623?src=jobsearchDesk&sid=16855301501393338&xp=3&px=1,,,
Hiring For Data Analyst,Infogain,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Hiring For Data Analyst,Infogain,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Sr Service Reliability Engineer,Verizon Media Group,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Sr Service Reliability Engineer,Verizon Media Group,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/myapply/showAcp?jquery=1&file=300523501557&multiApplyResp={%22300523501557%22:202},,,
Devops Engineer,"Numerify, Inc.",Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Devops Engineer,"Numerify, Inc.",Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Sr Sales Data Insights Analyst,Verizon Media Group,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Sr Sales Data Insights Analyst,Verizon Media Group,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/myapply/showAcp?jquery=1&file=300523501556&multiApplyResp={%22300523501556%22:202},,,
Application Support Engineer,Loginsoft,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Application Support Engineer,Loginsoft,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Security Analyst,Luxoft,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Security Analyst,Luxoft,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/myapply/showAcp?jquery=1&file=300523500325&multiApplyResp={%22300523500325%22:202},,,
Exciting job Opportunities For IIT's || Data Scientist,Value Innovation,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Exciting job Opportunities For IIT's || Data Scientist,Value Innovation,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
DATA Analytics Trainer,Edubridge Learning,Applied Successfully,6-12 Lacs P.A.,No Recruiters Details Found,No URL,,,
DATA Analytics Trainer,Edubridge Learning,Already applied,6-12 Lacs P.A.,No Recruiters Details Found,No URL,,,
