Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Senior Python Developer ( Django) Remote WFH,Ariumsoft,Applied Successfully,7-12 Lacs P.A.,No Recruiters Details Found,No URL,,,
Senior Python Developer ( Django) Remote WFH,Ariumsoft,Submission Failed ,7-12 Lacs P.A.,No Recruiters Details Found,https://www.naukri.com/job-listings-senior-python-developer-django-remote-wfh-ariumsoft-mumbai-suburban-maharashtra-3-to-7-years-170224001835?src=directSearch&sid=17083230987534023&xp=1&px=1,,,
Python Developer,Shaip Ai Data (india),Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Lead Software Development Engineer,Sainapse,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Urgent HIRE - Support Engineer PST timezone,sml,Applied Successfully,18-20 Lacs P.A.,No Recruiters Details Found,No URL,,,
Data Scientist,Akmazo Capital,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Data Scientist,fifthnote,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Data Scientist,Empowering Talent!,Applied Successfully,15-20 Lacs P.A.,No Recruiters Details Found,No URL,,,
Data Scientist,Empowering Talent!,Submission Failed ,15-20 Lacs P.A.,No Recruiters Details Found,https://www.naukri.com/job-listings-data-scientist-spes-manning-solutions-llp-pune-maharashtra-3-to-5-years-150224008921?src=directSearch&sid=17083230987534023&xp=7&px=1,,,
Senior Consultant/ Manager - Credit Risk Modeling,Leading global risk management Company,Applied Successfully,25-40 Lacs P.A.,No Recruiters Details Found,No URL,,,
Senior Consultant/ Manager - Credit Risk Modeling,Leading global risk management Company,Submission Failed ,25-40 Lacs P.A.,No Recruiters Details Found,https://www.naukri.com/job-listings-senior-consultant-manager-credit-risk-modeling-m-s-forward-mumbai-maharashtra-3-to-8-years-130224007720?src=directSearch&sid=17083230987534023&xp=8&px=1,,,
Sr Analyst(Credit Risk Analytics),Crescendo Global Leadership Hiring India Private L Imited,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Data Engineer,Contango Services,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Software Engineer,micro1,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
React JS Developer,,Not Applying because of keyword mentioned react,,,No URL,,,
Openings For Manager Account Management Implementation Design&Develop,Enrich and Enlight,Applied Successfully,9-12 Lacs P.A.,No Recruiters Details Found,No URL,,,
Devops Engineer 3,Activations Events Integrated Media,Applied Successfully,32.5-47.5 Lacs P.A.,No Recruiters Details Found,No URL,,,
Node Js Backend Developer,TVD,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
