Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Java Full Stack Developer,,Not Applying because of keyword mentioned java,,,No URL,,,
Dot Net Developer,,Not Applying because of keyword mentioned dot,,,No URL,,,
Java Developer ( SDE 2 ),,Not Applying because of keyword mentioned java,,,No URL,,,
Cloud Security Engineer,Agilite Global Solutions,Applied Successfully,Not Disclosed,[],No URL,,,
Cloud Security Engineer,Agilite Global Solutions,Already applied,Not Disclosed,[],No URL,,,
Experienced .NET/SQL Developer,Miles Technologies,Applied Successfully,7-15 Lacs P.A.,[],No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-software-dev-engineer-c-net-sql-csg-international-bangalore-bengaluru-1-to-5-years-240323011143?src=jobsearchDesk&sid=16859887448219665&xp=6&px=1,,,
Full Stack PHP Developer,,Not Applying because of keyword mentioned php,,,No URL,,,
Integration Engineer (Azure),Tollanis Solutions,Applied Successfully,35-45 Lacs P.A.,"Office Block A (A1) at Ground Floor 'Pavillion', 339/2, Mehrauli-Road, Gurugram, Haryana-122007
https://tollanis.com/",No URL,,,
,,,,,,1. How many years of experience do you have in c# ?*,radio,2 - 5
,,,,,,2. How many years of experience do you have working with Microsoft Azure?*,radio,More than 4 years
,,,,,,3. How many years of work experience do you have with Zendesk?*,radio,More than 2 Years
,,,,,,4. What is the notice period in your current company ? ,select-one,less than 15 days
,,,,,,5. What is your expected annual CTC in INR ?*,text,Based on market standards
,,,,,,6. How many years of experience do you have in javascript ? ,radio,2 - 5
Dot Net Core Developer/Work from Home,,Not Applying because of keyword mentioned dot,,,No URL,,,
Fullstack Developer (React+Angular+Node),Rajyug It Solutions,Applied Successfully,Not Disclosed,[],No URL,,,
Fullstack Developer (React+Angular+Node),Rajyug It Solutions,Already applied,Not Disclosed,[],No URL,,,
Senior Lead -Monetization,Angel One,Applied Successfully,20-25 Lacs P.A.,[],No URL,,,
Servicenow Developer,Copains Technologies Llp,Applied Successfully,Not Disclosed,[],No URL,,,
Servicenow Developer,Copains Technologies Llp,Already applied,Not Disclosed,[],No URL,,,
Servicenow Developer,Infobeans,Applied Successfully,15-30 Lacs P.A.,[],No URL,,,
Servicenow Developer,Infobeans,Already applied,15-30 Lacs P.A.,[],No URL,,,
12 LPA - SAAS Sales & Business Development - Work From Home,,Not Applying because of keyword mentioned sales,,,No URL,,,
React Native Developer,,Not Applying because of keyword mentioned react,,,No URL,,,
PL/SQL Developer,Snap on Business Solutions (SBS),Applied Successfully,Not Disclosed,[],No URL,,,
PL/SQL Developer,Snap on Business Solutions (SBS),Already applied,Not Disclosed,[],No URL,,,
Sr. Frontend Developer,,Not Applying because of keyword mentioned frontend,,,No URL,,,
Kony DBX developer,"MGS Technology, Pune",Applied Successfully,Not Disclosed,[],No URL,,,
Kony DBX developer,"MGS Technology, Pune",Already applied,Not Disclosed,[],No URL,,,
Test Coordinator,Scan Sion,Applied Successfully,6-16 Lacs P.A.,[],No URL,,,
Test Coordinator,Scan Sion,Already applied,6-16 Lacs P.A.,[],No URL,,,
M Plane Developer,Puresoftware,Applied Successfully,Not Disclosed,[],No URL,,,
M Plane Developer,Puresoftware,Already applied,Not Disclosed,[],No URL,,,
