Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Full Stack Developer (Python & ReactJS),,Not Applying because of keyword mentioned reactjs,,,No URL,,,
Software Engineer _ Java Fullstack,,Not Applying because of keyword mentioned java,,,No URL,,,
Exciting Opportunity For PHP & Python Developer || Shipco IT,,Not Applying because of keyword mentioned php,,,No URL,,,
Healthcare data science engineer,Talent Corner Hr Services,Applied Successfully,6-15 Lacs P.A.,No Recruiters Details Found,No URL,,,
Healthcare data science engineer,Talent Corner Hr Services,Already applied,6-15 Lacs P.A.,No Recruiters Details Found,No URL,,,
Gen AI Engineer,Velotio Technologies,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Gen AI Engineer,Velotio Technologies,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Manager -Growth Marketing,Serigor,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Manager -Growth Marketing,Serigor,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Golang Developer,Sigmond Morgan It Solutions,Applied Successfully,Not Disclosed,No Recruiters Details Found,No URL,,,
Senior Golang Developer,Sigmond Morgan It Solutions,Already applied,Not Disclosed,No Recruiters Details Found,No URL,,,
