Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
Front End Developer - Angular and Python,,Not Applying because of keyword mentioned angular,,,No URL,,,
Full Stack Web Developer (Computer Vision),Pdrc Corporation,Applied Successfully,5-15 Lacs P.A.,,No URL,,,
,,,,,,1. What is your expected annual CTC in INR ? ,text,Based on market standards
,,,,,,2. When can you start?*,text,Can join Immediate basis
,,,,,,3. Have you worked on websites to enable live feeds? *,text,"yes, deployed on cloud as well"
"Software Developer - Java,Fullstack, .Net",,Not Applying because of keyword mentioned .net,,,No URL,,,
Senior Technical Consultant I,Precisely,Applied Successfully,Not Disclosed,,No URL,,,
5G/ LTE - Developer,Rebaca Technologies,Applied Successfully,Not Disclosed,,No URL,,,
,,,,,,1. How many years of experience do you have in coding and development*,checkbox,['']
Senior Analyst - Data Intelligence,Sun King (Greenlight Planet),Applied Successfully,Not Disclosed,,No URL,,,
,,,,,,1. How many years of experience do you have in SQL?*,text,3
,,,,,,2. What is your Current & expected annual CTC in INR ?*,text,Based on market standards
,,,,,,3. What is the notice period in your current company ?*,text,Can join on Immediate basis
,,,,,,4. How many years of experience do you have in Business Intelligence or Data Intelligence?*,text,3
".NET Software Engineer with MVC , Web API & dot net core experience - World Wide Technology,Hyderabad/ Secunderabad,Telangana From 3 to 6 year(s) of experience",,Not Applying because of keyword mentioned dot,,,No URL,,,
Java developer with Alveo (Asset Control),Luxoft,Applied Successfully,Not Disclosed,,No URL,,,
,,,,,,1. How soon you can Join Or what is your Notice period ?*,text,Can join on Immediate basis
,,,,,,2. Your Expected CTC ?*,text,Based on market standards
,,,,,,3. Preferred Locations AND Preferred Work type ?*,text,c
,,,,,,4. Reason for Job Change*,text,Company merger caused contract disruption with client due to recession.
,,,,,,5. Total and Relevant Experience*,text,3
,,,,,,6. Current CTC*,text,24
,,,,,,"7. Are you Holding any offers ? If yes, please do share the value*",text,"yes, 15 LPA"
Urgent Opening For Quant Analyst...!!,Blue Bird Technologies,Applied Successfully,12-15 Lacs P.A.,,No URL,,,
Manager -Growth Marketing,Mchoovers Consulting,Applied Successfully,Not Disclosed,,No URL,,,
,,,,,,1. How many years of experience do you have in digital marketing ? ,select-one,2 - 3
,,,,,,2. How many years of experience do you have in growth strategy ? ,select-one,3 - 5.0
,,,,,,3. Are you currently living in or ready to relocate to Delhi / NCR ? ,radio,yes
,,,,,,4. What is your expected annual CTC in INR ? ,radio,"Rs.2,200,000.00 - Rs.3,200,000.00"
,,,,,,5. What is the notice period in your current company ? ,select-one,less than 15 days
,,,,,,6. How many years of experience in running Paid Campaigns?*,checkbox,['']
,,,,,,7. Are you willing to work in US Shifts (EST) ?*,radio,Yes
SAP IRPA Consultant/intelligent Robotic Process Automation,Infosight Consulting Services,Applied Successfully,Not Disclosed,.,No URL,,,
